name,boy,girl
Jean,0.019050999999999995,0.3707810000000001
Christine,0.0,0.37046500000000004
Janet,7e-05,0.36114999999999997
Gladys,0.001315,0.359171
Joan,0.00155,0.3575700000000001
Gertrude,0.0012579999999999998,0.35692700000000027
Joyce,0.001527,0.35157500000000014
Ruby,0.00421,0.34811899999999996
Hazel,0.004295000000000001,0.34702400000000005
Ella,0.0009459999999999999,0.34648299999999993
Rachel,9.5e-05,0.3440089999999999
Carrie,0.0010849999999999998,0.3434870000000001
Eva,0.0009069999999999999,0.34295599999999987
Kathryn,5.3e-05,0.33994299999999994
Maria,0.000733,0.3345669999999999
Brenda,0.000123,0.3302940000000002
Mabel,0.001195,0.32749199999999995
Pamela,6.400000000000001e-05,0.3185219999999999
Nellie,0.0011780000000000002,0.31595500000000004
Pearl,0.013243000000000008,0.31557599999999975
Esther,0.000678,0.31552300000000016
Nicole,0.000324,0.30866400000000005
Theresa,0.0,0.30279199999999995
Lois,0.002752,0.2983660000000001
Judith,0.000485,0.29606600000000005
Heather,0.00014199999999999998,0.29452399999999995
Diane,2.9e-05,0.2937850000000002
Myrtle,0.0009489999999999999,0.2930530000000001
Jane,0.0,0.29176300000000016
Elsie,0.0015859999999999997,0.28863900000000003
Julie,0.0,0.2816519999999999
Debra,0.000257,0.28121700000000005
Sara,0.0,0.27811400000000003
Gloria,0.00019299999999999997,0.27547
Christina,0.00029600000000000004,0.275454
Agnes,0.000784,0.27513099999999996
Lillie,0.0011250000000000001,0.27091600000000005
Eleanor,5.4e-05,0.2659509999999999
Samantha,5.8e-05,0.265933
Ellen,0.000108,0.26567999999999997
Anne,0.0,0.26434500000000005
Victoria,0.0,0.26397499999999996
Pauline,0.000181,0.25999399999999995
Marilyn,4.1e-05,0.25428100000000003
Janice,7.2e-05,0.25250200000000017
Beverly,0.0055559999999999984,0.251523
Marjorie,0.0,0.250506
Thelma,0.000574,0.24864200000000006
Mattie,0.001191,0.24846100000000004
Lucille,0.000202,0.24517899999999998
Phyllis,0.0,0.24334799999999998
Teresa,0.0,0.243013
Charlotte,0.0,0.24180599999999994
Jacqueline,0.0,0.24158699999999997
Cora,0.0007859999999999999,0.237341
Cheryl,2.8e-05,0.23564399999999994
Beatrice,0.000508,0.23532300000000003
Lucy,0.000295,0.23530299999999996
Lena,0.00023300000000000003,0.2343910000000002
Jennie,0.000505,0.23284
Judy,0.000242,0.23267600000000008
Alma,0.0028750000000000004,0.22855699999999998
Hannah,0.0,0.22738799999999998
Norma,0.0,0.22691400000000012
Lauren,0.0028929999999999993,0.22690399999999997
Andrea,0.0022059999999999996,0.22376900000000005
Megan,0.0,0.222774
Bonnie,0.004747999999999999,0.220895
Hattie,0.000774,0.21879700000000005
Rosa,5.4e-05,0.21160699999999988
Viola,0.000144,0.20977500000000002
Stella,0.0,0.207134
Rita,0.0,0.20564
Sylvia,0.0,0.19806000000000007
Peggy,0.0,0.198037
Bernice,0.004353,0.19698500000000005
Denise,0.0,0.19649100000000005
Diana,0.0,0.196305
Mae,0.000432,0.1938489999999999
Wanda,0.0,0.193833
Amber,0.0,0.19318
Danielle,0.000156,0.19091499999999997
Katie,0.0,0.19054699999999997
Blanche,0.000493,0.18725899999999995
Lula,0.000254,0.18705399999999994
Ada,0.0005690000000000001,0.18406899999999995
Lori,0.0,0.181819
Tammy,0.00027299999999999997,0.18121699999999996
Brittany,0.000205,0.18109
Crystal,4.4e-05,0.18078100000000003
Fannie,0.00029800000000000003,0.18008000000000002
Tiffany,5.4e-05,0.17925799999999992
Dora,0.0007109999999999999,0.1782320000000001
Elaine,0.0,0.17489900000000008
Kathy,0.0,0.1747470000000001
Dolores,0.00038600000000000006,0.17218199999999992
Maggie,0.000279,0.17141499999999998
Maude,0.000747,0.17093300000000008
Juanita,0.0,0.1706629999999999
Geraldine,0.0,0.16938100000000006
Caroline,4.6e-05,0.16921200000000003
Nora,0.0007400000000000002,0.1686840000000001
Daisy,0.000294,0.16830499999999982
Mamie,0.000171,0.16674499999999995
Audrey,0.0019500000000000003,0.16654399999999991
Tina,3.2e-05,0.16618300000000003
Georgia,0.000127,0.16513399999999998
Erin,0.0038960000000000006,0.16414299999999993
Vera,5.6e-05,0.16394799999999998
Dawn,0.0,0.16183300000000003
Paula,0.0,0.16077000000000002
Connie,0.007483999999999996,0.15993699999999994
Sally,0.0,0.15749800000000003
Natalie,0.0,0.157268
Olivia,0.0,0.155369
Loretta,0.0,0.15520699999999996
Vivian,0.0040219999999999995,0.1550019999999999
Lorraine,0.0,0.154602
Kayla,0.0,0.15415500000000004
June,0.004098,0.14896399999999999
Anita,0.0,0.14774000000000004
Lydia,0.0,0.14554199999999995
Leona,0.000123,0.1427280000000001
Wendy,0.0,0.142442
Sadie,0.0,0.1409930000000001
Monica,0.0,0.13834300000000002
Madison,0.006807999999999996,0.13720200000000002
Veronica,0.0,0.136376
Joanne,0.0,0.13611600000000004
Susie,5.5e-05,0.13559000000000002
Sheila,0.0,0.134099
Alyssa,0.0,0.133141
Valerie,0.0,0.13296300000000008
