name,boy,girl
Lloyd,0.1762289999999999,0.0
Jimmy,0.17445000000000005,4.8e-05
Christian,0.174223,0.008930999999999998
Tom,0.169354,5e-05
Chester,0.16858299999999998,4e-05
Jim,0.16748899999999997,0.0
Alex,0.16594899999999993,0.00261
Lester,0.16357399999999997,0.000148
Edgar,0.16320400000000002,5.1e-05
Randy,0.16295699999999996,0.001645
Leon,0.1622540000000001,0.0
Steve,0.15878599999999995,0.0
Warren,0.157693,0.0
Craig,0.15734099999999998,0.0
Harvey,0.15633099999999991,0.0
Travis,0.15585499999999997,0.0
Tony,0.154034,0.0
Alvin,0.15257199999999993,0.0
Bradley,0.151909,0.0
Claude,0.15068699999999993,0.0007400000000000001
Danny,0.14899499999999993,0.0
Todd,0.14894599999999997,0.0
Isaac,0.144635,0.0
Wesley,0.14392299999999994,0.0
Joel,0.14208899999999997,0.0
Carlos,0.14131699999999997,0.0
Nathaniel,0.14127900000000002,0.0
Calvin,0.14122099999999999,0.0
Mike,0.1396269999999999,0.0
Rodney,0.138778,0.0
Vernon,0.137906,0.00046
Will,0.137696,0.00019
Milton,0.1348329999999999,0.0
Bill,0.134185,0.0
Gordon,0.133819,0.0
Manuel,0.13195599999999996,0.0
Antonio,0.13144,0.0
Cody,0.13059600000000002,0.0014160000000000002
Dylan,0.130252,0.0018460000000000002
Ben,0.13018699999999991,0.0
Chad,0.129824,0.0
Don,0.12917700000000001,0.0
Ethan,0.128248,0.0
Jay,0.127824,0.0
Gabriel,0.123862,0.00169
Noah,0.12283700000000002,0.0
Luis,0.122769,0.0
Troy,0.11999800000000005,5.7e-05
Maurice,0.11999200000000002,0.000664
Gilbert,0.11963900000000009,0.0
Marcus,0.11951000000000002,0.0
Jerome,0.11766199999999999,0.0
Jeffery,0.11667499999999997,0.0
Franklin,0.11632299999999997,0.0
Hugh,0.11212000000000004,0.0
Luther,0.11156400000000001,0.0
Tommy,0.110452,0.0
Guy,0.11003800000000002,0.0
Derek,0.10914399999999998,0.0
Jesus,0.10862200000000001,0.0
Ricky,0.10823200000000001,0.0
Homer,0.10811699999999999,0.0
Everett,0.10785700000000002,0.0
Randall,0.10619199999999995,0.0
Max,0.10357800000000003,0.0
Glen,0.10339,0.0
Cameron,0.10269299999999998,0.009992
Evan,0.10248899999999998,0.0
Oliver,0.10244499999999995,0.0
Logan,0.101786,0.00842
Dustin,0.10178100000000002,0.0
Dean,0.10168000000000002,0.000826
Ronnie,0.09984000000000004,0.002217
